,item_id,name,category,price,old_price,sellable_online,short_description,depth,height,width
0,90420332,FREKVENS,Bar furniture,265,No old price,TRUE,"        Bar table, in/outdoor,          51x51 cm",,99,51
1,368814,NORDVIKEN,Bar furniture,995,No old price,FALSE,"        Bar table,          140x80 cm",,105,80
2,9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095,No old price,FALSE,        Bar table and 4 bar stools,,,
3,80155205,STIG,Bar furniture,69,No old price,TRUE,"        Bar stool with backrest,          74 cm",50,100,60
4,30180504,NORBERG,Bar furniture,225,No old price,TRUE,"        Wall-mounted drop-leaf table,          74x60 cm",60,43,74
5,10122647,INGOLF,Bar furniture,345,No old price,TRUE,"        Bar stool with backrest,          63 cm",45,91,40
6,70404875,FRANKLIN,Bar furniture,129,No old price,TRUE,"        Bar stool with backrest, foldable,          63 cm",44,95,50
7,60155602,DALFRED,Bar furniture,195,No old price,TRUE,"        Bar stool,          63-74 cm",50,,50
8,50406465,FRANKLIN,Bar furniture,129,No old price,TRUE,"        Bar stool with backrest, foldable,          63 cm",44,95,50
9,69304221,EKEDALEN / EKEDALEN,Bar furniture,2176,"SR 2,375",TRUE,        Bar table and 4 bar stools,,,
10,90404879,FRANKLIN,Bar furniture,149,No old price,TRUE,"        Bar stool with backrest, foldable,          74 cm",44,103,52
11,121766,INGOLF,Bar furniture,395,No old price,TRUE,"        Bar stool with backrest,          74 cm",45,102,40
12,397736,NORRARYD,Bar furniture,395,No old price,TRUE,"        Bar stool with backrest,          74 cm",47,103,46
13,50420329,FREKVENS,Bar furniture,177,SR 295,TRUE,"        Bar stool with backrest, in/outdoor,          74 cm",53,104,43
14,400550,EKEDALEN,Bar furniture,345,No old price,TRUE,"        Bar stool with backrest,          75 cm",52,114,43
15,29304826,TOMMARYD,Bar furniture,695,No old price,TRUE,"        Table,          130x70/105 cm",,105,70
16,40426138,HENRIKSDAL,Bar furniture,395,No old price,TRUE,"        Bar stool with backrest frame,          74 cm",51,102,40
17,50363649,KULLABERG,Bar furniture,140,SR 175,TRUE,        Stool,36,,36
18,70246089,JANINGE,Bar furniture,595,No old price,TRUE,"        Bar stool,          76 cm",36,84,38
19,60406785,FRANKLIN,Bar furniture,149,No old price,TRUE,"        Bar stool with backrest, foldable,          74 cm",44,103,52
20,340759,EKEDALEN,Bar furniture,995,No old price,TRUE,"        Bar table,          120x80 cm",,105,80
21,30352246,RÅSKOG,Bar furniture,175,No old price,TRUE,"        Bar stool,          63 cm",44,63,44
22,10281354,JANINGE,Bar furniture,595,No old price,TRUE,"        Bar stool,          76 cm",36,84,38
23,90400517,EKEDALEN,Bar furniture,796,SR 995,TRUE,"        Bar table,          120x80 cm",,105,80
24,400545,EKEDALEN,Bar furniture,345,No old price,TRUE,"        Bar stool with backrest,          75 cm",51,114,43
25,10400540,EKEDALEN,Bar furniture,345,No old price,TRUE,"        Bar stool with backrest,          75 cm",52,114,43
26,40400529,EKEDALEN,Bar furniture,796,SR 995,TRUE,"        Bar table,          120x80 cm",,105,80
27,90319918,HENRIKSDAL,Bar furniture,695,No old price,TRUE,"        Bar stool with backrest,          74 cm",51,102,40
28,29297227,STENSELE / NORRARYD,Bar furniture,1340,No old price,TRUE,        Bar table and 2 bar stools,,,
29,99323925,STENSELE,Bar furniture,550,No old price,TRUE,"        Bar table,          70x70 cm",,104,70
30,40339004,NORRÅKER,Bar furniture,595,No old price,TRUE,"        Bar table,          74x74 cm",,102,74
31,39184324,HENRIKSDAL,Bar furniture,435,No old price,TRUE,"        Bar stool with backrest,          74 cm",51,102,40
32,19297275,NORRÅKER / NORRÅKER,Bar furniture,1266,"SR 1,385",TRUE,"        Bar table and 2 bar stools,          74 cm",,,
33,60400745,YNGVAR,Bar furniture,475,No old price,TRUE,"        Bar stool,          75 cm",40,,40
34,20336619,HENRIKSDAL,Bar furniture,40,No old price,TRUE,        Cover for bar stool with backrest,,,
35,20429010,NORRÅKER,Bar furniture,395,No old price,TRUE,"        Bar stool with backrest,          74 cm",48,100,42
36,80369112,NORDVIKEN,Bar furniture,275,No old price,FALSE,"        Bar stool with backrest,          75 cm",47,101,40
37,89280380,NORRÅKER / NORRARYD,Bar furniture,1385,No old price,TRUE,"        Bar table and 2 bar stools,          74 cm",,104,74
38,29304223,EKEDALEN / EKEDALEN,Bar furniture,2375,No old price,TRUE,"        Bar table and 4 bar stools,          120 cm",,,
