product_name,category,width_cm,depth_cm,height_cm,material_structure,upholstery_material,is_extensible,seat_count,table_capacity_persons,price_ron
BINGSTA,Chairs,70.0,58.0,76.0,Lemn Masiv,Fara,0,1,0,684.25
SKRUVSTA,Chairs,69.0,69.0,79.0,Lemn Masiv,Fara,0,1,0,626.75
STRANDMON,Chairs,82.0,96.0,101.0,Metal,Fara,0,1,0,1144.25
PELLO,Chairs,67.0,85.0,96.0,Metal,Fara,0,1,0,224.25
EKOLSUND,Chairs,85.0,94.0,97.0,Lemn Masiv,Fara,0,1,0,1604.25
NILSOVE,Chairs,57.0,57.0,82.0,Lemn Masiv,Fara,0,1,0,454.25
AGEN,Chairs,58.0,56.0,79.0,Metal,Fara,0,1,0,281.75
ADDE,Chairs,39.0,47.0,77.0,Metal,Textil,0,1,0,46.0
GUNDE,Chairs,41.0,45.0,78.0,Lemn Masiv,Fara,0,1,0,34.5
NOLMYRA,Chairs,64.0,75.0,75.0,Metal,Fara,0,1,0,201.25
STRANDMON,Chairs,56.0,62.0,71.0,Lemn Masiv,Fara,0,1,0,569.25
GRÖNADAL,Chairs,80.0,81.0,86.0,Metal,Textil,0,1,0,914.25
INGOLF,Chairs,43.0,52.0,91.0,Metal,Fara,0,1,0,224.25
KARLJAN,Chairs,49.0,55.0,81.0,Metal,Textil,0,1,0,143.75
REMSTA,Chairs,60.0,72.0,88.0,Lemn Masiv,Fara,0,1,0,914.25
STOCKSUND,Chairs,144.0,49.0,47.0,Lemn Masiv,Fara,0,1,0,1144.25
INGOLF,Chairs,39.0,30.0,45.0,Metal,Textil,0,1,0,201.25
IKEA PS GULLHOLMEN,Chairs,62.0,68.0,75.0,Lemn Masiv,Fara,0,1,0,339.25
BEKVÄM,Chairs,43.0,39.0,50.0,Metal,Fara,0,1,0,67.85
TOSSBERG,Chairs,60.0,56.0,82.0,Metal,Fara,0,1,0,569.25
KYRRE,Chairs,42.0,48.0,45.0,Metal,Fara,0,1,0,69.0
TEODORES,Chairs,46.0,54.0,80.0,Metal,Textil,0,1,0,109.25
BUSKBO,Chairs,72.0,63.0,42.0,Metal,Fara,0,1,0,776.25
JOKKMOKK,Chairs,41.0,47.0,90.0,Lemn Masiv,Fara,0,1,0,91.08
TOBIAS,Chairs,55.0,56.0,82.0,Metal,Textil,0,1,0,396.75
TULLSTA,Chairs,79.0,69.0,78.0,Metal,Fara,0,1,0,626.75
STIG,Chairs,60.0,50.0,100.0,Lemn Masiv,Fara,0,1,0,79.35
VEDBO,Chairs,73.0,65.0,75.0,Metal,Fara,0,1,0,1121.25
HARRY,Chairs,48.0,50.0,96.0,Metal,Fara,0,1,0,228.85
IKEA PS LÖMSK,Chairs,59.0,62.0,75.0,Metal,Fara,0,1,0,396.75
POÄNG,Chairs,47.0,60.0,68.0,Metal,Fara,0,1,0,205.85
POÄNG,Chairs,68.0,94.0,95.0,Lemn Masiv,Fara,0,1,0,908.5
LEIFARNE,Chairs,52.0,50.0,88.0,Metal,Fara,0,1,0,281.75
SÖDERHAMN,Chairs,93.0,151.0,83.0,Lemn Masiv,Fara,0,1,0,1265.0
MACKAPÄR,Chairs,100.0,35.0,51.0,Lemn Masiv,Fara,0,1,0,339.25
NILSOVE / NORNA,Chairs,57.0,57.0,82.0,Metal,Fara,0,1,0,487.6
EKTORP,Chairs,104.0,88.0,88.0,Metal,Fara,0,1,0,776.25
LEIFARNE,Chairs,52.0,50.0,87.0,Metal,Fara,0,1,0,224.25
STEFAN,Chairs,42.0,49.0,90.0,Metal,Fara,0,1,0,97.75
ODGER,Chairs,45.0,51.0,81.0,Metal,Fara,0,1,0,203.55
GUNDE,Chairs,41.0,45.0,78.0,Lemn Masiv,Fara,0,1,0,34.5
NISSE,Chairs,45.0,47.0,76.0,Metal,Textil,0,1,0,56.35
EKERÖ,Chairs,70.0,73.0,75.0,Metal,Textil,0,1,0,799.25
HATTEFJÄLL,Chairs,68.0,68.0,110.0,Metal,Fara,0,1,0,1489.25
BÖRJE,Chairs,44.0,55.0,100.0,Metal,Fara,0,1,0,201.25
KARLJAN,Chairs,49.0,55.0,81.0,Metal,Textil,0,1,0,143.75
RÅDVIKEN,Chairs,79.0,73.0,82.0,Metal,Textil,0,1,0,776.25
HENRIKSDAL,Chairs,51.0,58.0,97.0,Metal,Fara,0,1,0,339.25
GRÖNLID,Chairs,117.0,164.0,104.0,Lemn Masiv,Fara,0,1,0,2179.25
MARTIN,Chairs,49.0,52.0,86.0,Metal,Fara,0,1,0,113.85
HEMNES,Chairs,64.0,37.0,173.0,Lemn Masiv,Fara,0,1,0,569.25
SAKARIAS,Chairs,60.0,67.0,96.0,Metal,Textil,0,1,0,741.75
BALTSAR,Chairs,58.0,56.0,85.0,Lemn Masiv,Fara,0,1,0,684.25
BINGSTA,Chairs,70.0,58.0,101.0,Metal,Fara,0,1,0,799.25
ULRIKSBERG,Chairs,67.0,74.0,76.0,Lemn Masiv,Fara,0,1,0,511.75
FÖRSIKTIG,Chairs,37.0,24.0,13.0,Lemn Masiv,Fara,0,1,0,17.25
INGOLF,Chairs,40.0,45.0,91.0,Metal,Fara,0,1,0,396.75
SAKARIAS,Chairs,39.0,51.0,49.0,Lemn Masiv,Fara,0,1,0,258.75
KOARP,Chairs,83.0,78.0,75.0,Metal,Textil,0,1,0,948.75
MARKERAD,Chairs,53.0,46.0,76.0,Lemn Masiv,Fara,0,1,0,376.05
POÄNG,Chairs,47.0,56.0,68.0,Metal,Fara,0,1,0,205.85
SVENBERTIL,Chairs,48.0,51.0,85.0,Metal,Fara,0,1,0,281.75
STOCKSUND,Chairs,92.0,97.0,84.0,Metal,Fara,0,1,0,1949.25
BENARP,Chairs,92.0,83.0,106.0,Lemn Masiv,Fara,0,1,0,1719.25
FRANKLIN,Chairs,50.0,44.0,95.0,Metal,Fara,0,1,0,148.35
NISSE,Chairs,45.0,47.0,76.0,Metal,Textil,0,1,0,56.35
